Empresa,Segmento,Cidade/Estado,Website,Porte Estimado (Equipe/Receita),Por que é um bom fit para Game Sales

# SEGMENTO 1: IMOBILIÁRIAS (Real Estate)
Fernandez Mera,Imobiliária,São Paulo/SP,https://www.fernandezmera.com.br,1.500 corretores associados + 60 funcionários,Grande equipe de corretores autônomos que precisa de ranking e acompanhamento de performance; gestão de pipeline imobiliário complexo
Coelho da Fonseca,Imobiliária (Alto Padrão),São Paulo/SP,https://www.coelhodafonseca.com.br,366 corretores + 498 colaboradores,Equipe de corretores especializados em imóveis de luxo; necessidade de CRM para acompanhar vendas de alto valor e engajamento do time
Lopes Consultoria de Imóveis,Imobiliária (Nacional),São Paulo/SP,https://www.lopes.com.br,400 colaboradores + 9.000 corretores autônomos; 200+ unidades,Maior imobiliária do Brasil com modelo de franquia; precisa de visibilidade sobre performance de corretores em múltiplas unidades
Patrimóvel,Imobiliária,Rio de Janeiro/RJ,https://www.patrimovel.com.br,Média-grande; múltiplos empreendimentos,Forte atuação no RJ com equipe comercial ativa; necessita gestão de pipeline de lançamentos e acompanhamento de vendedores
Brasil Brokers,Imobiliária (Nacional),Rio de Janeiro/RJ,https://www.brasilbrokers.com.br,Grande porte; rede nacional,Rede nacional de imobiliárias; necessidade de padronizar acompanhamento comercial entre filiais
Eztec Vendas,House de Vendas Imobiliária,São Paulo/SP,https://www.eztec.com.br/eztecvendas/,Maior house de vendas do Brasil; 190+ empreendimentos,House de vendas com grande equipe de corretores; precisa de ranking gamificado para motivar vendedores por empreendimento
Tegra Vendas,House de Vendas Imobiliária,São Paulo/SP e Rio de Janeiro/RJ,https://www.tegraincorporadora.com.br,Média-grande; SP e RJ,House de vendas com foco em qualificação de corretores; ideal para gamificação de metas e CRM de pipeline imobiliário
Mitre Vendas,House de Vendas Imobiliária,São Paulo/SP,https://www.mitrerealty.com.br,Média; atuação em SP,Incorporadora com house de vendas interna; equipe de corretores e gerentes que se beneficiariam de ranking e tracking
Apolar Imóveis,Imobiliária Regional,Curitiba/PR,https://www.apolar.com.br,Média-grande; rede de franquias PR,Rede de imobiliárias no Paraná com modelo de franquia; precisa de visibilidade sobre performance por unidade
Abyara,Imobiliária,São Paulo/SP,http://www.corretorabyara.com.br,Média-grande; referência no mercado SP,Referência no mercado imobiliário paulista; equipe de corretores que precisa de engajamento e acompanhamento de pipeline

# SEGMENTO 2: CORRETORAS DE SEGUROS (Insurance Brokers)
Minuto Seguros,Corretora de Seguros (Online),São Paulo/SP,https://www.minutoseguros.com.br,Média; nota 9.1 no Reclame Aqui,Corretora online com equipe de vendedores; modelo de cotação online precisa de CRM para follow-up e ranking de conversão
Alper Seguros,Corretora de Seguros (B2B),São Paulo/SP,https://www.alperseguros.com.br,Grande; avaliada em R$850M,Corretora B2B com grande carteira corporativa; equipe comercial que precisa de gestão de pipeline e performance
It'sSeg / Acrisure Brasil,Corretora de Seguros,São Paulo/SP,https://acrisure.com.br,R$5.4 bi em prêmios; 900 funcionários; 16 escritórios,Grande equipe comercial distribuída em 16 escritórios; necessita tracking de performance por unidade e integração WhatsApp
MDS Brasil,Corretora de Seguros,São Paulo/SP,https://www.mdsgroup.com.br,Grande; 15 aquisições em 7 anos,Crescimento por aquisições gera necessidade de padronizar processos comerciais e engajar equipes de diferentes origens
Wiz Co,Corretora de Seguros (Bancassurance),Brasília/DF,https://wiz.co,Grande; listada na B3 (WIZS3),Especialista em bancassurance com modelo de distribuição massiva; equipe de vendedores precisa de ranking e gamificação
Lojacorr,Rede de Corretoras de Seguros,Curitiba/PR,https://redelojacorr.com.br,Maior rede de corretoras do Brasil; centenas de associados,Rede que agrega corretoras independentes; precisa de plataforma unificada para ranking e performance dos associados
Baeta Assessoria de Seguros,Assessoria de Seguros,Rio de Janeiro/RJ,https://www.baeta.com.br,Média; assessoria comercial e técnica,Assessoria para corretoras com foco comercial; equipe que acompanha múltiplas corretoras beneficiaria de CRM e ranking
Brasil Corretora de Seguros,Corretora de Seguros,São Paulo/SP,https://brcorretoraseguros.com.br,Pequena-média; atuação regional SP,Corretora regional com equipe comercial; pricing Plus/Pro ideal para esse porte
